tenting,(Multiple Items),,group,(Multiple Items),,remote,(Multiple Items),,structured_RV,(Multiple Items),,type of camping,median day 
2.283854167,,,2.764705882,,,,,,4.249877511,,,,
2.28440367,,,2.769230769,,,,,,4.271493213,,,,
2.284768212,,,2.777777778,,,,,,4.64200299,,,,
2.28654311,,,2.782352941,,,,,,4.652830189,,,,
2.2890625,,,2.785714286,,,,,,4.73540146,,,,
2.290849673,,,2.799856012,,,,,,(blank),,,,
2.29296875,,,2.8,,,,,,Grand Total,,,,
2.293333333,,,2.820224719,,,,,,,,,,
2.301507538,,,2.824650572,,,,,,,,,,
2.302816901,,,2.833333333,,,,,,,,,,
2.307984791,,,2.839805825,,,,,,,,,,
2.311715481,,,2.840909091,,,,,,,,,,
2.317460317,,,2.842105263,,,,,,,,,,
2.32,,,2.863636364,,,,,,,,,,
2.323045267,,,2.870588235,,,,,,,,,,
2.326996198,,,2.873015873,,,,,,,,,,
2.328107503,,,2.875,,,,,,,,,,
2.328125,,,2.905660377,,,,,,,,,,
2.330357143,,,2.913385827,,,,,,,,,,
2.330845771,,,2.916666667,,,,,,,,,,
2.331367925,,,2.929842574,,,,,,,,,,
2.331506849,,,2.931271478,,,,,,,,,,
2.333038869,,,2.9375,,,,,,,,,,
2.333333333,,,2.947183099,,,,,,,,,,
2.336170213,,,2.963414634,,,,,,,,,,
2.339222615,,,2.96969697,,,,,,,,,,
2.342710997,,,2.972972973,,,,,,,,,,
2.353932584,,,3,,,,,,,,,,
2.355353075,,,3.006976744,,,,,,,,,,
2.360795455,,,3.009505703,,,,,,,,,,
2.361469712,,,3.019607843,,,,,,,,,,
2.363636364,,,3.027027027,,,,,,,,,,
2.36440678,,,3.04130809,,,,,,,,,,
2.367424242,,,3.060465116,,,,,,,,,,
2.367816092,,,3.09102091,,,,,,,,,,
2.370399374,,,3.1,,,,,,,,,,
2.371428571,,,3.111111111,,,,,,,,,,
2.374324324,,,3.114474929,,,,,,,,,,
2.375,,,3.125,,,,,,,,,,
2.375404531,,,3.133333333,,,,,,,,,,
2.378854626,,,3.142857143,,,,,,,,,,
2.37890625,,,3.147959184,,,,,,,,,,
2.384347826,,,3.153846154,,,,,,,,,,
2.384615385,,,3.197368421,,,,,,,,,,
2.386554622,,,3.203125,,,,,,,,,,
2.3875,,,3.231927711,,,,,,,,,,
2.388888889,,,3.266666667,,,,,,,,,,
2.391304348,,,3.275,,,,,,,,,,
2.391982183,,,3.279904306,,,,,,,,,,
2.400890869,,,3.285714286,,,,,,,,,,
2.402777778,,,3.287822878,,,,,,,,,,
2.403589316,,,3.307692308,,,,,,,,,,
2.405247813,,,3.3125,,,,,,,,,,
2.409704852,,,3.357142857,,,,,,,,,,
2.411764706,,,3.381086142,,,,,,,,,,
2.413366701,,,3.386554622,,,,,,,,,,
2.413605442,,,3.48,,,,,,,,,,
2.414558914,,,3.5,,,,,,,,,,
2.414634146,,,3.504524887,,,,,,,,,,
2.415754923,,,3.538461538,,,,,,,,,,
2.416536661,,,3.542857143,,,,,,,,,,
2.420074349,,,3.555555556,,,,,,,,,,
2.420152091,,,3.571428571,,,,,,,,,,
2.420547148,,,3.6,,,,,,,,,,
2.431653591,,,3.65,,,,,,,,,,
2.434131737,,,3.666666667,,,,,,,,,,
2.434254144,,,3.685714286,,,,,,,,,,
2.434262948,,,3.692307692,,,,,,,,,,
2.43442623,,,3.929487179,,,,,,,,,,
2.43485342,,,4.055201699,,,,,,,,,,
2.436975984,,,4.076802508,,,,,,,,,,
2.437351736,,,4.10619469,,,,,,,,,,
2.440528634,,,4.249877511,,,,,,,,,,
2.441295547,,,4.61928934,,,,,,,,,,
2.443920829,,,5.091617934,,,,,,,,,,
2.444933921,,,(blank),,,,,,,,,,
2.450184502,,,Grand Total,,,,,,,,,,
2.452586207,,,,,,,,,,,,,
2.452702703,,,,,,,,,,,,,
2.45915493,,,,,,,,,,,,,
2.460957179,,,,,,,,,,,,,
2.465489567,,,,,,,,,,,,,
2.468431772,,,,,,,,,,,,,
2.47029703,,,,,,,,,,,,,
2.470588235,,,,,,,,,,,,,
2.480769231,,,,,,,,,,,,,
2.483944954,,,,,,,,,,,,,
2.488692232,,,,,,,,,,,,,
2.488721805,,,,,,,,,,,,,
2.494318182,,,,,,,,,,,,,
2.49602122,,,,,,,,,,,,,
2.5,,,,,,,,,,,,,
2.505172414,,,,,,,,,,,,,
2.509505703,,,,,,,,,,,,,
2.512727273,,,,,,,,,,,,,
