FacilityID,OrgFacilityID,ParentRecAreaID,FacilityName,FacilityLongitude,FacilityLatitude,NumberofCampsites,ActivityName,NumberofReservations,PostalCode,AddressStateCode,demand,Cluster
231947,131,1062.0,FALCON GROUP,-117.460278,33.655833,3,"CAMPING,WILDLIFE VIEWING,BIKING,HIKING,PHOTOGRAPHY,MOUNTAIN BIKING,STAR GAZING,WILDERNESS,SCENIC DRIVE",465,CA,,155.0,5
231949,131,1062.0,CRESTLINE PICNIC GROUND,-116.864722,33.312778,1,"CAMPING,BIKING,HIKING,INTERPRETIVE PROGRAMS",58,CA,,58.0,0
231950,131,1062.0,EL PRADO GROUP,-116.455556,32.886944,5,"CAMPING,WILDLIFE VIEWING,BIKING,HIKING,BIRDING,MOUNTAIN BIKING,HORSEBACK RIDING,HISTORIC & CULTURAL SITE,SCENIC DRIVE,INFORMATION SITE,CULTURAL ACTIVITIES",555,CA,91901,111.0,2
231951,131,1062.0,HORSE HEAVEN GROUP,-116.44083300000001,32.8875,3,"CAMPING,WILDLIFE VIEWING,BIKING,HIKING,BIRDING,MOUNTAIN BIKING,HORSEBACK RIDING,SCENIC DRIVE",274,CA,91901,91.33333333333333,2
231952,131,1062.0,WOODED HILL GROUP,-116.42,32.850278,1,"CAMPING,BIKING,HIKING,PICNICKING",62,CA,91901,62.0,2
231953,131,1063.0,MIDDLE MEADOWS,-120.46611100000001,39.051111,2,"BOATING,CAMPING,FISHING,WILDLIFE VIEWING,WATER SPORTS,SWIMMING SITE",197,CA,95634,98.5,0
231954,131,1063.0,WRIGHTS LAKE,-120.23111100000001,38.849444,64,"CAMPING,FISHING,HIKING,DAY USE AREA,BIRDING,SWIMMING SITE,NON-MOTORIZED BOATING",5971,CA,,93.296875,0
231955,131,1064.0,OBSIDIAN FLAT,-119.016667,37.733333,1,"CAMPING,WILDLIFE VIEWING,HIKING,OFF HIGHWAY VEHICLE TRAILS",119,CA,93541,119.0,8
231956,131,1064.0,AGNEW MEADOWS GROUP CAMP,-119.089444,37.682221999999996,3,"CAMPING,FISHING,HIKING,PICNICKING",310,CA,93546,103.33333333333333,2
231957,131,1064.0,PUMICE FLAT GROUP CAMP,-119.07361100000001,37.648889000000004,4,"CAMPING,FISHING,HIKING",359,CA,,89.75,2
