facilityid,median_orderdate_to_startdate,average_orderdate_to_startdate,min_orderdate_to_startdate,max_orderdate_to_startdate,average_nights,median_nights
232786.0,161.5,164.5568181818182,21,366,2.4318181818181817,2.0
232787.0,65.0,84.50339366515837,1,203,2.578337104072398,2.0
232788.0,95.0,94.36942479237157,1,233,3.067363888034451,2.0
232789.0,97.0,103.23311546840958,3,307,2.3769063180827885,2.0
232790.0,117.0,117.0,105,129,2.0,2.0
232791.0,103.0,97.84772806104752,1,194,3.0953867499132848,3.0
232792.0,8.0,18.636569579288025,0,183,1.9750809061488672,2.0
232793.0,14.0,29.653910149750416,1,184,2.0540765391014975,2.0
232794.0,8.5,17.131599684791173,0,184,2.314814814814815,2.0
232795.0,8.0,17.641502417255484,0,184,2.069914466344366,2.0
232796.0,14.0,24.984586262844783,0,360,2.3009734991887507,2.0
232797.0,159.0,148.54736842105262,4,339,2.526315789473684,2.0
232799.0,30.0,48.29713524317122,3,184,2.034643570952698,2.0
232800.0,31.0,48.889830508474574,3,182,2.266949152542373,2.0
232801.0,43.0,69.34144231808844,0,218,2.857065628716618,2.0
232802.0,30.0,53.25303867403315,0,202,2.6866298342541435,2.0
232803.0,40.0,57.09541062801932,2,202,3.006038647342995,3.0
232804.0,22.0,37.67544331004836,1,224,2.4368619022031166,2.0
232805.0,87.0,90.98782412626832,1,243,3.3589627959413755,2.0
232806.0,28.0,46.11729141475212,1,202,2.6207980652962517,2.0
232807.0,28.0,45.6795655125594,2,197,2.342385155012446,2.0
232808.0,114.0,117.5,2,366,2.977272727272727,2.0
232809.0,52.5,72.00920873124147,2,214,2.311050477489768,2.0
232810.0,37.5,56.00433526011561,0,351,2.7976878612716765,2.0
232811.0,42.0,69.13959300249911,0,191,3.2923955730096393,3.0
232812.0,34.0,62.22994652406417,0,220,2.4730189596499756,2.0
232813.0,44.0,75.85162799766036,0,233,3.473776564632482,2.0
232814.0,51.0,74.82052139037434,0,221,3.3599598930481283,3.0
232815.0,54.0,71.93947244465379,0,375,2.8725859632595383,3.0
232816.0,43.0,68.34471544715447,2,187,2.491056910569106,2.0
232817.0,103.5,100.83333333333333,18,178,3.466666666666667,3.0
232818.0,139.0,131.5593220338983,55,184,3.711864406779661,3.0
232819.0,52.0,75.94827341196533,2,246,2.5995452607645304,2.0
232820.0,14.0,24.3203125,1,161,1.9244791666666667,2.0
232821.0,46.0,71.62995211144971,0,231,2.834915106660862,2.0
232822.0,111.0,120.77894736842106,3,606,2.526315789473684,2.0
232823.0,20.0,32.5965811965812,2,182,2.0188034188034187,2.0
232824.0,42.0,64.06705081194343,3,193,2.708748035620744,2.0
232825.0,35.0,55.43340094658553,2,236,1.902974983096687,2.0
232826.0,26.0,45.75046670815183,3,184,2.2806471686372123,2.0
232827.0,29.0,48.24589178356713,2,366,2.3312625250501,2.0
232828.0,39.0,70.92819429778247,3,366,2.662090813093981,2.0
232829.0,40.5,62.164414414414416,3,184,2.5861486486486487,2.0
232830.0,62.0,80.8768084173608,3,367,2.8592722490135905,2.0
232831.0,81.0,90.89210582614277,1,284,2.2180703130571207,2.0
