Index,FacilityID,OrgFacilityID,ParentRecAreaID,FacilityName,FacilityLongitude,FacilityLatitude,NumberofCampsites,ActivityName.1,ActivityName.2,ActivityName.3,ActivityName.4,ActivityName.5,ActivityName.6,ActivityName.7,ActivityName.8,ActivityName.9,ActivityName.10,ActivityName.11,ActivityName.12,ActivityName.13,ActivityName.14,ActivityName.15,ActivityName.16,ActivityName.17,ActivityName.18,ActivityName.19,ActivityName.20,ActivityName.21,ActivityName.22,ActivityName.23,ActivityName.24,ActivityName.25,ActivityName.26,ActivityName.27,ActivityName.28,ActivityName.29,ActivityName.30
85,10047995,131,1035,Magpie Campground (UT),0,0,10,FISHING,HIKING,MOUNTAIN BIKING,TUBING,,,,,,,,,,,,,,,,,,,,,,,,,,
86,10048006,131,1035,Maple Bench Campground,0,0,10,FISHING,HIKING,KAYAKING,CANOEING,SCENIC DRIVE,,,,,,,,,,,,,,,,,,,,,,,,,
87,10048017,131,1035,Maple Lake Campground,0,0,10,FISHING,HIKING,SWIMMING,KAYAKING,CANOEING,SCENIC DRIVE,,,,,,,,,,,,,,,,,,,,,,,,
88,10048028,131,1035,Meeks Cabin Campground,0,0,24,BOATING,CAMPING,FISHING,WILDLIFE VIEWING,,,,,,,,,,,,,,,,,,,,,,,,,,
89,10048053,131,1035,Pioneer Campground (UT),0,0,18,FISHING,HIKING,MOUNTAIN BIKING,SCENIC DRIVE,,,,,,,,,,,,,,,,,,,,,,,,,,
90,10048073,131,1035,Preston Valley Campground ,0,0,9,FISHING,WILDLIFE VIEWING,HIKING,MOUNTAIN BIKING,,,,,,,,,,,,,,,,,,,,,,,,,,
91,10048096,131,1035,Shady Dell Campground,0,0,20,FISHING,HIKING,MOUNTAIN BIKING,HORSEBACK RIDING,,,,,,,,,,,,,,,,,,,,,,,,,,
92,10048127,131,1035,Shingle Creek ATV Campground,0,0,21,FISHING,HIKING,MOUNTAIN BIKING,HORSEBACK RIDING,,,,,,,,,,,,,,,,,,,,,,,,,,
93,10048149,131,1035,Smithfield Campground,0,0,6,FISHING,HIKING,MOUNTAIN BIKING,HORSEBACK RIDING,,,,,,,,,,,,,,,,,,,,,,,,,,
94,10048156,131,1035,Spring Campground (UT),0,0,3,FISHING,HIKING,MOUNTAIN BIKING,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,10048160,131,1035,Upper Meadows Campground,0,0,9,FISHING,HIKING,SWIMMING,TUBING,,,,,,,,,,,,,,,,,,,,,,,,,,
96,10048170,131,1035,Cobblerest Campground,0,0,18,FISHING,HIKING,MOUNTAIN BIKING,HORSEBACK RIDING,,,,,,,,,,,,,,,,,,,,,,,,,,
97,10048189,131,1035,Cottonwood Campground - SLRD,0,0,3,FISHING,HIKING,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,10048198,131,1035,Intake Campground,0,0,4,FISHING,WILDLIFE VIEWING,HIKING,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,10048215,131,1035,Loop Campground (UT),0,0,10,CAMPING,FISHING,WILDLIFE VIEWING,HIKING,,,,,,,,,,,,,,,,,,,,,,,,,,
100,10048229,131,1035,Lower Meadows Campground,0,0,23,FISHING,HIKING,SWIMMING,TUBING,,,,,,,,,,,,,,,,,,,,,,,,,,
101,10048253,131,1035,Lower Narrows Campground,0,0,3,CAMPING,FISHING,WILDLIFE VIEWING,HIKING,,,,,,,,,,,,,,,,,,,,,,,,,,
