FacilityID,CampsiteType,CampsiteID
231970,GROUP STANDARD NONELECTRIC,1
231971,GROUP TENT ONLY AREA NONELECTRIC,1
231972,GROUP STANDARD NONELECTRIC,1
231973,MANAGEMENT,9
231973,STANDARD NONELECTRIC,15
231973,TENT ONLY NONELECTRIC,1
231974,GROUP TENT ONLY AREA NONELECTRIC,1
231975,STANDARD NONELECTRIC,52
231976,GROUP STANDARD NONELECTRIC,3
231976,STANDARD NONELECTRIC,51
231977,GROUP TENT ONLY AREA NONELECTRIC,1
231978,MANAGEMENT,41
231978,STANDARD NONELECTRIC,81
231979,GROUP STANDARD NONELECTRIC,6
231979,STANDARD NONELECTRIC,183
231980,MANAGEMENT,6
231980,STANDARD NONELECTRIC,232
231981,GROUP STANDARD NONELECTRIC,1
231981,STANDARD NONELECTRIC,60
231983,GROUP STANDARD NONELECTRIC,1
231984,GROUP STANDARD NONELECTRIC,1
231985,MANAGEMENT,1
231985,STANDARD NONELECTRIC,18
231986,MANAGEMENT,1
231986,STANDARD NONELECTRIC,59
231987,GROUP STANDARD NONELECTRIC,1
231987,STANDARD NONELECTRIC,38
231988,GROUP STANDARD NONELECTRIC,1
231988,STANDARD NONELECTRIC,18
231989,STANDARD NONELECTRIC,6
231990,GROUP TENT ONLY AREA NONELECTRIC,2
231990,MANAGEMENT,63
231990,STANDARD ELECTRIC,81
231992,GROUP STANDARD NONELECTRIC,1
231993,STANDARD ELECTRIC,30
231993,STANDARD NONELECTRIC,103
231994,GROUP STANDARD NONELECTRIC,1
231995,MANAGEMENT,15
231995,RV ELECTRIC,17
231995,STANDARD ELECTRIC,4
231995,STANDARD NONELECTRIC,26
231995,TENT ONLY NONELECTRIC,24
231997,MANAGEMENT,20
231997,STANDARD NONELECTRIC,30
231998,STANDARD ELECTRIC,42
231998,TENT ONLY NONELECTRIC,5
231999,STANDARD ELECTRIC,42
231999,WALK TO,1
232000,GROUP STANDARD NONELECTRIC,1
232000,MANAGEMENT,17
232000,STANDARD NONELECTRIC,7
232001,STANDARD NONELECTRIC,6
232002,GROUP STANDARD NONELECTRIC,2
232002,STANDARD NONELECTRIC,35
232003,GROUP STANDARD NONELECTRIC,1
232003,MANAGEMENT,7
232003,STANDARD ELECTRIC,62
232003,STANDARD NONELECTRIC,26
232005,GROUP STANDARD NONELECTRIC,2
232005,STANDARD ELECTRIC,20
232005,STANDARD NONELECTRIC,7
232005,TENT ONLY NONELECTRIC,11
232006,MANAGEMENT,7
232006,STANDARD ELECTRIC,6
232007,GROUP STANDARD NONELECTRIC,1
232007,MANAGEMENT,18
232007,STANDARD ELECTRIC,26
232008,STANDARD ELECTRIC,2
232008,STANDARD NONELECTRIC,19
232009,GROUP STANDARD NONELECTRIC,1
232009,MANAGEMENT,51
232009,STANDARD NONELECTRIC,92
232009,TENT ONLY NONELECTRIC,13
232010,MANAGEMENT,9
232010,STANDARD NONELECTRIC,24
232012,MANAGEMENT,5
232012,STANDARD NONELECTRIC,6
232013,GROUP STANDARD NONELECTRIC,5
232013,MANAGEMENT,1
232013,STANDARD NONELECTRIC,83
232013,TENT ONLY NONELECTRIC,13
232013,YURT,16
232014,GROUP TENT ONLY AREA NONELECTRIC,1
232014,RV NONELECTRIC,2
232014,STANDARD NONELECTRIC,16
232015,RV NONELECTRIC,1
232015,STANDARD NONELECTRIC,25
232016,GROUP TENT ONLY AREA NONELECTRIC,1
232016,STANDARD NONELECTRIC,13
232017,MANAGEMENT,4
232017,STANDARD NONELECTRIC,47
232018,MANAGEMENT,1
232018,STANDARD NONELECTRIC,27
232019,STANDARD NONELECTRIC,46
232020,GROUP TENT ONLY AREA NONELECTRIC,1
232021,GROUP RV AREA NONELECTRIC,1
232021,GROUP TENT ONLY AREA NONELECTRIC,3
232022,MANAGEMENT,19
232022,STANDARD NONELECTRIC,7
232022,TENT ONLY NONELECTRIC,9
232023,GROUP STANDARD NONELECTRIC,1
232023,MANAGEMENT,5
232023,STANDARD NONELECTRIC,8
232024,GROUP STANDARD AREA NONELECTRIC,3
232024,GROUP TENT ONLY AREA NONELECTRIC,1
232024,MANAGEMENT,1
232024,STANDARD NONELECTRIC,10
232024,TENT ONLY NONELECTRIC,15
232025,MANAGEMENT,1
232025,RV NONELECTRIC,2
232025,STANDARD NONELECTRIC,24
232025,YURT,3
232026,GROUP STANDARD NONELECTRIC,1
232026,STANDARD NONELECTRIC,18
232027,MANAGEMENT,4
232027,STANDARD ELECTRIC,24
232027,STANDARD NONELECTRIC,3
232028,GROUP STANDARD NONELECTRIC,1
232029,MANAGEMENT,1
232029,STANDARD NONELECTRIC,10
232030,GROUP STANDARD NONELECTRIC,1
232031,GROUP TENT ONLY AREA NONELECTRIC,1
232032,GROUP STANDARD NONELECTRIC,4
232033,MANAGEMENT,2
232033,STANDARD NONELECTRIC,41
232034,GROUP STANDARD AREA NONELECTRIC,1
232035,GROUP STANDARD ELECTRIC,1
232035,MANAGEMENT,1
232035,STANDARD ELECTRIC,9
232035,STANDARD NONELECTRIC,23
232036,GROUP STANDARD NONELECTRIC,1
232036,MANAGEMENT,4
232036,STANDARD NONELECTRIC,54
232036,TENT ONLY NONELECTRIC,8
232037,STANDARD ELECTRIC,19
232037,STANDARD NONELECTRIC,32
232037,TENT ONLY NONELECTRIC,36
232038,STANDARD NONELECTRIC,22
232038,TENT ONLY NONELECTRIC,3
232039,GROUP STANDARD NONELECTRIC,4
232039,STANDARD NONELECTRIC,65
232040,STANDARD NONELECTRIC,10
232041,GROUP STANDARD NONELECTRIC,1
232042,GROUP STANDARD NONELECTRIC,1
232043,GROUP STANDARD NONELECTRIC,2
232044,MANAGEMENT,4
232044,STANDARD NONELECTRIC,23
232045,GROUP STANDARD NONELECTRIC,2
232046,STANDARD NONELECTRIC,20
232047,MANAGEMENT,1
232047,STANDARD NONELECTRIC,68
232048,GROUP STANDARD NONELECTRIC,3
232049,STANDARD NONELECTRIC,19
232049,TENT ONLY NONELECTRIC,31
232050,STANDARD NONELECTRIC,63
232051,GROUP STANDARD NONELECTRIC,1
232051,MANAGEMENT,45
232051,STANDARD NONELECTRIC,46
232051,TENT ONLY NONELECTRIC,1
232052,STANDARD NONELECTRIC,31
232053,GROUP STANDARD NONELECTRIC,2
232054,STANDARD NONELECTRIC,7
232054,TENT ONLY NONELECTRIC,19
232055,GROUP STANDARD AREA NONELECTRIC,2
232055,GROUP TENT ONLY AREA NONELECTRIC,1
232055,MANAGEMENT,2
232055,STANDARD NONELECTRIC,24
232055,TENT ONLY NONELECTRIC,10
232055,YURT,5
232056,CABIN ELECTRIC,2
232056,MANAGEMENT,15
232056,RV ELECTRIC,15
232056,RV NONELECTRIC,1
232056,STANDARD ELECTRIC,69
232056,STANDARD NONELECTRIC,70
232056,WALK TO,36
232057,GROUP STANDARD NONELECTRIC,1
232058,STANDARD NONELECTRIC,19
232058,TENT ONLY NONELECTRIC,9
232059,GROUP STANDARD NONELECTRIC,3
232059,MANAGEMENT,1
232059,STANDARD NONELECTRIC,37
232060,GROUP STANDARD NONELECTRIC,3
232061,STANDARD NONELECTRIC,69
232061,TENT ONLY NONELECTRIC,13
232062,GROUP TENT ONLY AREA NONELECTRIC,1
232063,GROUP STANDARD NONELECTRIC,3
232063,GROUP TENT ONLY AREA NONELECTRIC,1
232064,GROUP STANDARD NONELECTRIC,1
232064,MANAGEMENT,3
232064,STANDARD NONELECTRIC,144
232065,MANAGEMENT,21
232065,SHELTER NONELECTRIC,1
232065,STANDARD ELECTRIC,15
232065,STANDARD NONELECTRIC,60
232065,TENT ONLY NONELECTRIC,1
232066,MANAGEMENT,2
232066,RV ELECTRIC,2
232066,STANDARD ELECTRIC,17
232066,TENT ONLY NONELECTRIC,10
232067,MANAGEMENT,13
232067,RV NONELECTRIC,4
232067,STANDARD NONELECTRIC,36
232068,GROUP STANDARD NONELECTRIC,1
232069,GROUP TENT ONLY AREA NONELECTRIC,1
232069,STANDARD NONELECTRIC,23
232069,TENT ONLY NONELECTRIC,1
232069,WALK TO,3
232070,EQUESTRIAN NONELECTRIC,9
232070,GROUP STANDARD NONELECTRIC,3
232070,RV NONELECTRIC,3
232070,STANDARD NONELECTRIC,49
232070,TENT ONLY NONELECTRIC,1
232071,GROUP STANDARD NONELECTRIC,1
232071,GROUP TENT ONLY AREA NONELECTRIC,1
232071,MANAGEMENT,1
232071,STANDARD NONELECTRIC,41
232071,TENT ONLY NONELECTRIC,2
232072,GROUP STANDARD NONELECTRIC,1
232073,MANAGEMENT,5
232073,STANDARD NONELECTRIC,43
232073,TENT ONLY NONELECTRIC,2
232074,STANDARD NONELECTRIC,23
232077,MANAGEMENT,14
232077,STANDARD NONELECTRIC,8
232077,TENT ONLY NONELECTRIC,2
232077,WALK TO,7
232078,MANAGEMENT,26
232078,RV NONELECTRIC,6
232078,STANDARD NONELECTRIC,47
232079,STANDARD NONELECTRIC,20
232079,YURT,1
232080,GROUP STANDARD NONELECTRIC,3
232080,STANDARD NONELECTRIC,45
