facilityid,#tenting,#group,#remote,#structured_RV,tenting,group,remote,structured_RV,totalbeforetax,numberofpeople,reservation_days,days_stay,FacilityName,FacilityLongitude,FacilityLatitude,tenting_demand,group_demand,remote_demand,structured_RV_demand,Year
232083,111.0,1.0,0.0,72.0,1531.0,0.0,0.0,0.0,59.0,6.0,112.0,3.0,SUNSET-UNION VALLEY,-120.405,38.865833,13.792792792792794,0.0,,0.0,2016
232090,8.0,0.0,0.0,0.0,211.0,0.0,0.0,0.0,55.0,4.0,133.0,4.0,ROBINSON CREEK NORTH,-119.3175,38.186111,26.375,,,,2016
232094,66.0,0.0,0.0,0.0,1145.0,0.0,0.0,0.0,51.0,4.0,136.0,2.0,SALMON LA SAC,-121.098611,47.398333,17.348484848484848,,,,2016
232096,19.0,0.0,0.0,1.0,402.0,0.0,0.0,0.0,37.0,3.0,73.0,2.0,Shannon Creek Campground,-121.596667,48.740278,21.157894736842106,,,0.0,2016
232099,18.0,0.0,0.0,1.0,562.0,0.0,0.0,0.0,41.0,2.0,66.0,2.0,Silver Fir Campground,-121.70166699999999,48.903056,31.22222222222222,,,0.0,2016
232100,0.0,1.0,0.0,0.0,0.0,23.0,0.0,0.0,209.0,25.0,117.0,2.0,SKYLINE,-116.783056,34.155556,,23.0,,,2016
232107,39.0,0.0,0.0,0.0,564.0,0.0,0.0,0.0,53.0,5.0,32.0,2.0,STUMPY MEADOWS,-120.59166699999999,38.904167,14.461538461538462,,,,2016
232113,46.0,0.0,0.0,1.0,652.0,0.0,0.0,0.0,41.0,4.0,30.0,2.0,Tinkham Campground,-121.581667,47.405833,14.173913043478262,,,0.0,2016
232117,28.0,0.0,0.0,1.0,541.0,0.0,0.0,20.0,55.0,4.0,125.0,3.0,TRUMBULL LAKE,-119.257222,38.050556,19.321428571428573,,,20.0,2016
232118,17.0,0.0,0.0,1.0,323.0,0.0,0.0,0.0,41.0,4.0,64.0,2.0,Turlo Campground,-121.790278,48.095556,19.0,,,0.0,2016
232119,10.0,0.0,3.0,1.0,265.0,0.0,100.0,27.0,61.0,4.0,152.5,4.0,LOWER TWIN LAKES AT BRIDGEPORT,-119.331111,38.172778,26.5,,33.333333333333336,27.0,2016
232120,24.0,0.0,0.0,2.0,568.0,0.0,0.0,0.0,45.0,4.0,41.0,2.0,Verlot Campground,-121.784722,48.091667,23.666666666666668,,,0.0,2016
232121,0.0,2.0,0.0,0.0,0.0,16.0,0.0,0.0,450.0,40.5,157.5,3.0,WENCH CREEK,-120.377222,38.890278,,8.0,,,2016
232123,25.0,3.0,1.0,19.0,2115.0,257.0,89.0,0.0,31.0,4.0,114.0,2.0,WHITNEY PORTAL,-118.229778,36.589861,84.6,85.66666666666667,89.0,0.0,2016
232125,19.0,0.0,0.0,0.0,411.0,0.0,0.0,0.0,59.0,6.0,86.0,3.0,YELLOWJACKET,-120.391667,38.891667,21.63157894736842,,,,2016
232136,122.0,1.0,0.0,0.0,3820.0,19.0,0.0,0.0,60.0,4.0,45.0,2.0,DINKEY CREEK,-119.15388899999999,37.073056,31.311475409836067,19.0,,,2016
232137,17.0,0.0,0.0,27.0,318.0,0.0,0.0,0.0,55.0,5.0,25.5,2.0,FRENCHMAN,-120.18666699999999,39.899722,18.705882352941178,,,0.0,2016
232138,67.0,0.0,0.0,22.0,1240.0,0.0,0.0,0.0,55.0,4.0,34.0,2.0,WHEELER GORGE,-119.27361100000002,34.511944,18.507462686567163,,,0.0,2016
232181,18.0,0.0,0.0,3.0,230.0,0.0,0.0,50.0,48.6,4.0,26.0,2.0,CARTER LAKE,-124.146111,43.856667,12.777777777777779,,,16.666666666666668,2016
232182,58.0,0.0,0.0,10.0,1330.0,0.0,0.0,201.0,69.0,4.0,110.0,3.0,DRIFTWOOD,-124.143056,43.883889,22.93103448275862,,,20.1,2016
232183,65.0,0.0,0.0,5.0,1235.0,0.0,0.0,53.0,70.0,4.0,138.0,4.0,HORSFALL ,-124.244444,43.445833,19.0,,,10.6,2016
232184,12.0,0.0,0.0,1.0,133.0,0.0,0.0,0.0,49.0,4.0,32.0,3.0,WILD MARE HORSE CAMP,-124.267222,43.454444,11.083333333333334,,,0.0,2016
232185,21.0,0.0,0.0,0.0,436.0,0.0,0.0,0.0,53.0,3.0,63.0,2.0,HOPE VALLEY,-119.930125,38.897278,20.761904761904763,,,,2016
232186,25.0,0.0,0.0,0.0,420.0,0.0,0.0,0.0,53.0,3.0,56.0,2.0,MOUNT ROSE (NV) ,-119.897361,39.312278000000006,16.8,,,,2016
232187,22.0,0.0,0.0,0.0,238.0,0.0,0.0,0.0,45.0,4.0,39.0,2.0,Silver Creek,-119.787167,38.588972,10.818181818181818,,,,2016
232234,84.0,0.0,0.0,23.0,313.0,33.0,0.0,0.0,69.0,4.0,53.0,4.0,HAYWARD FLAT,-122.769167,40.874444,3.7261904761904763,inf,,0.0,2016
232235,60.0,0.0,0.0,25.0,328.0,25.0,0.0,0.0,69.0,6.0,43.0,4.0,TANNERY,-122.848056,40.836667,5.466666666666667,inf,,0.0,2016
232236,0.0,2.0,0.0,0.0,0.0,47.0,0.0,0.0,155.0,20.0,91.0,2.0,BIG PINE CANYON,-118.42222199999999,37.12833300000001,,23.5,,,2016
